id,key,type,name,state,county_fips,geometry
288,,county,Shasta County,CA,06089,
289,,county,Sierra County,CA,06091,
290,,county,Siskiyou County,CA,06093,
291,,county,Solano County,CA,06095,
292,,county,Sonoma County,CA,06097,
293,,county,Stanislaus County,CA,06099,
294,,county,Sutter County,CA,06101,
295,,county,Tehama County,CA,06103,
296,,county,Trinity County,CA,06105,
297,,county,Tulare County,CA,06107,
298,,county,Tuolumne County,CA,06109,
299,,county,Ventura County,CA,06111,
300,,county,Yolo County,CA,06113,
301,,county,Yuba County,CA,06115,
302,,county,Adams County,CO,08001,
303,,county,Alamosa County,CO,08003,
304,,county,Arapahoe County,CO,08005,
305,,county,Archuleta County,CO,08007,
306,,county,Baca County,CO,08009,
307,,county,Bent County,CO,08011,
308,,county,Boulder County,CO,08013,
309,,county,Broomfield County,CO,08014,
310,,county,Chaffee County,CO,08015,
311,,county,Cheyenne County,CO,08017,
312,,county,Clear Creek County,CO,08019,
313,,county,Conejos County,CO,08021,
314,,county,Costilla County,CO,08023,
315,,county,Crowley County,CO,08025,
316,,county,Custer County,CO,08027,
317,,county,Delta County,CO,08029,
318,,county,Denver County,CO,08031,
319,,county,Dolores County,CO,08033,
320,,county,Douglas County,CO,08035,
321,,county,Eagle County,CO,08037,
322,,county,Elbert County,CO,08039,
323,,county,El Paso County,CO,08041,
324,,county,Fremont County,CO,08043,
325,,county,Garfield County,CO,08045,
326,,county,Gilpin County,CO,08047,
327,,county,Grand County,CO,08049,
328,,county,Gunnison County,CO,08051,
329,,county,Hinsdale County,CO,08053,
330,,county,Huerfano County,CO,08055,
331,,county,Jackson County,CO,08057,
332,,county,Jefferson County,CO,08059,
333,,county,Kiowa County,CO,08061,
334,,county,Kit Carson County,CO,08063,
335,,county,Lake County,CO,08065,
336,,county,La Plata County,CO,08067,
337,,county,Larimer County,CO,08069,
338,,county,Las Animas County,CO,08071,
339,,county,Lincoln County,CO,08073,
340,,county,Logan County,CO,08075,
341,,county,Mesa County,CO,08077,
342,,county,Mineral County,CO,08079,
343,,county,Moffat County,CO,08081,
344,,county,Montezuma County,CO,08083,
345,,county,Montrose County,CO,08085,
346,,county,Morgan County,CO,08087,
347,,county,Otero County,CO,08089,
348,,county,Ouray County,CO,08091,
349,,county,Park County,CO,08093,
350,,county,Phillips County,CO,08095,
351,,county,Pitkin County,CO,08097,
352,,county,Prowers County,CO,08099,
353,,county,Pueblo County,CO,08101,
354,,county,Rio Blanco County,CO,08103,
355,,county,Rio Grande County,CO,08105,
356,,county,Routt County,CO,08107,
357,,county,Saguache County,CO,08109,
358,,county,San Juan County,CO,08111,
359,,county,San Miguel County,CO,08113,
360,,county,Sedgwick County,CO,08115,
361,,county,Summit County,CO,08117,
362,,county,Teller County,CO,08119,
363,,county,Washington County,CO,08121,
364,,county,Weld County,CO,08123,
365,,county,Yuma County,CO,08125,
366,,county,Kent County,DE,10001,
367,,county,New Castle County,DE,10003,
368,,county,Sussex County,DE,10005,
369,,county,District of Columbia,DC,11001,
370,,county,Alachua County,FL,12001,
371,,county,Baker County,FL,12003,
372,,county,Bay County,FL,12005,
373,,county,Bradford County,FL,12007,
374,,county,Brevard County,FL,12009,
375,,county,Broward County,FL,12011,
376,,county,Calhoun County,FL,12013,
377,,county,Charlotte County,FL,12015,
378,,county,Citrus County,FL,12017,
379,,county,Clay County,FL,12019,
380,,county,Collier County,FL,12021,
381,,county,Columbia County,FL,12023,
382,,county,DeSoto County,FL,12027,
383,,county,Dixie County,FL,12029,
384,,county,Duval County,FL,12031,
385,,county,Escambia County,FL,12033,
386,,county,Flagler County,FL,12035,
387,,county,Franklin County,FL,12037,
388,,county,Gadsden County,FL,12039,
389,,county,Gilchrist County,FL,12041,
390,,county,Glades County,FL,12043,
391,,county,Gulf County,FL,12045,
392,,county,Hamilton County,FL,12047,
393,,county,Hardee County,FL,12049,
394,,county,Hendry County,FL,12051,
395,,county,Hernando County,FL,12053,
396,,county,Highlands County,FL,12055,
397,,county,Hillsborough County,FL,12057,
398,,county,Holmes County,FL,12059,
399,,county,Indian River County,FL,12061,
400,,county,Jackson County,FL,12063,
401,,county,Jefferson County,FL,12065,
402,,county,Lafayette County,FL,12067,
403,,county,Lake County,FL,12069,
404,,county,Lee County,FL,12071,
405,,county,Leon County,FL,12073,
406,,county,Levy County,FL,12075,
407,,county,Liberty County,FL,12077,
408,,county,Madison County,FL,12079,
409,,county,Manatee County,FL,12081,
410,,county,Marion County,FL,12083,
411,,county,Martin County,FL,12085,
412,,county,Miami-Dade County,FL,12086,
413,,county,Monroe County,FL,12087,
414,,county,Nassau County,FL,12089,
415,,county,Okaloosa County,FL,12091,
416,,county,Okeechobee County,FL,12093,
417,,county,Orange County,FL,12095,
418,,county,Osceola County,FL,12097,
419,,county,Palm Beach County,FL,12099,
420,,county,Pasco County,FL,12101,
421,,county,Pinellas County,FL,12103,
422,,county,Polk County,FL,12105,
423,,county,Putnam County,FL,12107,
424,,county,St. Johns County,FL,12109,
425,,county,St. Lucie County,FL,12111,
426,,county,Santa Rosa County,FL,12113,
427,,county,Sarasota County,FL,12115,
428,,county,Seminole County,FL,12117,
429,,county,Sumter County,FL,12119,
430,,county,Suwannee County,FL,12121,
431,,county,Taylor County,FL,12123,
432,,county,Union County,FL,12125,
433,,county,Volusia County,FL,12127,
434,,county,Wakulla County,FL,12129,
435,,county,Walton County,FL,12131,
436,,county,Washington County,FL,12133,
437,,county,Appling County,GA,13001,
438,,county,Atkinson County,GA,13003,
439,,county,Bacon County,GA,13005,
440,,county,Baker County,GA,13007,
441,,county,Baldwin County,GA,13009,
442,,county,Banks County,GA,13011,
443,,county,Barrow County,GA,13013,
444,,county,Bartow County,GA,13015,
445,,county,Ben Hill County,GA,13017,
446,,county,Berrien County,GA,13019,
447,,county,Bibb County,GA,13021,
448,,county,Bleckley County,GA,13023,
449,,county,Brantley County,GA,13025,
450,,county,Brooks County,GA,13027,
451,,county,Bryan County,GA,13029,
452,,county,Bulloch County,GA,13031,
453,,county,Burke County,GA,13033,
454,,county,Butts County,GA,13035,
455,,county,Calhoun County,GA,13037,
456,,county,Camden County,GA,13039,
457,,county,Candler County,GA,13043,
458,,county,Carroll County,GA,13045,
459,,county,Catoosa County,GA,13047,
460,,county,Charlton County,GA,13049,
461,,county,Chatham County,GA,13051,
462,,county,Chattahoochee County,GA,13053,
463,,county,Chattooga County,GA,13055,
464,,county,Cherokee County,GA,13057,
465,,county,Clarke County,GA,13059,
466,,county,Clay County,GA,13061,
467,,county,Clayton County,GA,13063,
468,,county,Clinch County,GA,13065,
469,,county,Cobb County,GA,13067,
470,,county,Coffee County,GA,13069,
471,,county,Colquitt County,GA,13071,
472,,county,Columbia County,GA,13073,
473,,county,Cook County,GA,13075,
474,,county,Coweta County,GA,13077,
475,,county,Crawford County,GA,13079,
476,,county,Crisp County,GA,13081,
477,,county,Dade County,GA,13083,
478,,county,Dawson County,GA,13085,
479,,county,Decatur County,GA,13087,
480,,county,DeKalb County,GA,13089,
481,,county,Dodge County,GA,13091,
482,,county,Dooly County,GA,13093,
