zipcode,cbsasub
02921,METRO39300M39300
03031,METRO31700MM5350
03032,METRO14460MM4760
03033,METRO31700MM5350
03034,METRO14460MM4760
03036,METRO14460MM4160
03037,METRO14460MM4760
03038,METRO14460MM4160
03042,METRO14460MM6450
03043,METRO31700N33011
03044,METRO14460MM4160
03045,METRO31700MM4760
03046,NCNTY33013N33013
03047,METRO31700N33011
03048,METRO31700MM5350
03049,METRO31700MM5350
03051,METRO31700MM5350
03052,METRO31700MM5350
03053,METRO14460MM4760
03054,METRO31700MM5350
03055,METRO31700MM5350
03057,METRO31700MM5350
03060,METRO31700MM5350
03062,METRO31700MM5350
03063,METRO31700MM5350
03064,METRO31700MM5350
03070,METRO31700N33011
03071,METRO31700MM5350
03076,METRO31700MM5350
03077,METRO14460MM4160
03079,METRO14460MM4160
03082,METRO31700N33011
03084,METRO31700N33011
03086,METRO31700MM5350
03087,METRO14460MM4160
03101,METRO31700MM4760
03102,METRO31700MM4760
03103,METRO31700MM4760
03104,METRO31700MM4760
03106,NCNTY33013N33013
03109,METRO31700MM4760
03110,METRO31700MM4760
03215,NCNTY33009N33009
03216,NCNTY33013N33013
03217,NCNTY33009N33009
03218,NCNTY33001N33001
03220,NCNTY33001N33001
03221,NCNTY33013N33013
03222,NCNTY33009N33009
03223,NCNTY33009N33009
03224,NCNTY33013N33013
03225,NCNTY33001N33001
03226,NCNTY33001N33001
03227,NCNTY33003N33003
03229,NCNTY33013N33013
03230,NCNTY33013N33013
03231,NCNTY33013N33013
03233,NCNTY33013N33013
03234,NCNTY33013N33013
03235,NCNTY33013N33013
03237,NCNTY33001N33001
03238,NCNTY33009N33009
03240,NCNTY33009N33009
03241,NCNTY33009N33009
03242,NCNTY33013N33013
03243,NCNTY33013N33013
03244,METRO31700N33011
03245,NCNTY33009N33009
03246,NCNTY33001N33001
03249,NCNTY33001N33001
03251,NCNTY33009N33009
03253,NCNTY33001N33001
03254,NCNTY33003N33003
03255,NCNTY33013N33013
03256,NCNTY33001N33001
03257,NCNTY33013N33013
03258,NCNTY33013N33013
03259,NCNTY33003N33003
03260,NCNTY33013N33013
03261,METRO14460MM4760
03262,NCNTY33009N33009
03263,NCNTY33013N33013
03264,NCNTY33009N33009
03266,NCNTY33009N33009
03268,NCNTY33013N33013
