zip,geography_id,predominant
01301,4102,1
01301,5518,0
01302,4102,1
01330,4104,1
01331,4104,1
01337,4102,1
01337,5518,0
01338,4102,1
01339,4104,1
01340,4104,1
01340,5518,0
01341,4104,1
01341,5518,0
01342,4102,1
01342,5518,0
01343,4104,1
01344,4104,1
01346,4104,1
01347,4102,1
01349,4104,1
01350,4104,1
01351,4104,1
01351,5518,0
01354,4102,1
01354,5518,0
01355,4104,1
01360,4104,1
01364,4104,1
01366,4104,1
01367,4104,1
01368,4104,1
01370,4104,1
01370,5518,0
01373,4104,1
01373,5518,0
01373,5523,0
01375,4102,1
01375,5518,0
01376,4102,1
01376,5518,0
01378,4104,1
01379,4104,1
01380,4104,1
01420,4104,0
01420,5297,1
01420,5524,0
01430,4104,0
01430,5285,0
01430,5297,1
01430,5524,0
01431,5297,1
01431,5524,0
01432,4104,1
01432,4147,0
01432,5526,0
01434,4104,1
01434,5526,0
01436,4104,1
01436,5524,0
01438,4106,1
01440,4104,1
01440,5285,0
01440,5524,0
01441,4104,1
01450,4104,0
01450,4147,0
01450,5297,1
01450,5526,0
01451,4104,1
01451,4146,0
01451,4147,0
01451,5523,0
01451,5526,0
01452,4104,1
01452,5524,0
01453,4104,0
01453,4152,0
01453,5297,1
01453,5523,0
01453,5524,0
01460,4102,0
01460,4104,1
01460,4147,0
01460,5526,0
01462,4104,0
01462,5297,1
01462,5524,0
01462,5526,0
01463,4104,0
01463,5297,1
01463,5526,0
01464,4104,0
01464,5297,1
01464,5524,0
01464,5526,0
01467,4104,1
01468,4104,1
01468,5524,0
01469,4104,0
01469,5297,1
01469,5524,0
01469,5526,0
01470,4103,1
01471,4103,1
01472,4103,1
01473,4104,0
01473,5297,1
01473,5524,0
01474,5297,1
01474,5524,0
01475,4104,1
01475,5524,0
01477,4104,1
01501,4104,1
01501,5523,0
01503,4104,1
01503,4146,0
01503,5287,0
01503,5523,0
01504,4104,1
01504,5523,0
01504,5525,0
01505,4104,1
01505,4150,0
01505,5287,0
01505,5523,0
01506,4104,1
01507,4104,1
01507,5523,0
01508,4104,1
01509,4104,1
01510,4104,1
01510,4152,0
01510,5523,0
01515,4104,1
01516,4104,1
01516,5523,0
01517,4105,1
01518,4104,1
01519,4104,1
01519,5523,0
01520,4104,1
01520,5292,0
01520,5523,0
01521,4104,1
01522,4104,1
01522,5292,0
01522,5523,0
01523,4104,0
01523,4152,0
01523,5297,1
01523,5523,0
01523,5524,0
01523,5526,0
01524,4104,1
01524,5523,0
01525,4104,1
01525,5523,0
01526,4104,1
01527,4104,1
01527,5523,0
01529,4104,1
01529,5523,0
01531,4104,1
01532,4104,1
01532,4150,0
01532,5523,0
01534,4104,1
01534,5523,0
01535,4104,1
01536,4104,1
01536,4150,0
01536,5523,0
01537,4104,1
01537,5523,0
01538,4104,1
01540,4104,1
01540,5523,0
01541,4104,1
01541,4152,0
01541,5523,0
01541,5524,0
01542,4104,1
01542,5523,0
01543,4104,1
01545,4104,0
01545,4150,1
01545,5523,0
01546,4150,1
01550,4104,1
01560,4104,1
01560,5523,0
01561,4104,1
01561,5523,0
01562,4104,1
01562,5523,0
01564,4104,1
01564,4152,0
01564,5287,0
01564,5523,0
01566,4104,1
01568,4102,0
01568,4104,1
01568,5523,0
01569,4104,1
01569,5523,0
01570,4104,1
01571,4104,1
01580,4104,1
01581,4102,0
01581,4104,1
01581,4150,0
01581,5523,0
01582,4104,1
01583,4104,1
01583,4152,0
01583,5287,0
01583,5292,0
01583,5302,0
01583,5523,0
01585,4104,1
01586,4104,1
01588,4104,1
01588,5523,0
01590,4104,1
01590,5523,0
01601,4104,1
01602,4104,1
01602,5523,0
01603,4104,1
01603,5523,0
01604,4104,0
01604,4150,1
01604,5523,0
01605,4104,1
01605,4150,0
01605,5523,0
01606,4104,1
01606,4150,0
01606,5302,0
01606,5523,0
01607,4104,1
01607,5523,0
01608,4104,1
01608,5523,0
01609,4104,1
01609,5523,0
01610,4104,1
01610,5523,0
01611,4104,1
01611,5523,0
01612,4104,1
01612,5292,0
01612,5298,0
01612,5523,0
01613,4104,1
01614,4104,1
01615,4104,1
01653,4104,1
01654,4104,1
01655,4104,1
01701,4102,0
01701,4104,1
01701,5523,0
01702,4102,1
01702,5523,0
01703,4102,1
01704,4102,1
01705,4102,1
01718,4102,1
01718,5526,0
01719,4102,0
01719,4104,1
01719,4146,0
01719,4147,0
01719,5523,0
01719,5526,0
01720,4102,0
01720,4104,1
01720,4143,0
01720,4146,0
01720,4147,0
01720,5526,0
01721,4102,0
01721,4104,1
01721,5523,0
01730,4102,0
01730,4104,1
01730,4143,0
01730,5526,0
01731,4102,1
01731,5526,0
01740,4104,1
01740,4146,0
01740,5523,0
01740,5526,0
01741,4102,0
01741,4104,1
01741,4143,0
01741,5526,0
01742,4102,1
01742,4143,0
01742,5523,0
01742,5526,0
01745,4102,0
01745,4104,1
01745,5523,0
01746,4102,0
01746,4104,1
01746,5523,0
01747,4104,1
01747,5523,0
01747,5525,0
