zcta,geography_id,intersection_proportion
00676,3203,0.007982
00676,3204,0.00011
00676,3252,0.991908
00677,54,1.0
00677,3203,0.007275
00677,3207,0.010332
00677,3261,0.982394
00678,54,1.0
00678,3238,0.165888
00678,3260,0.77816
00678,3268,0.055952
00680,54,1.0
00680,3207,0.021615
00680,3251,0.947714
00680,3265,0.030671
00682,54,1.0
00682,3236,0.001398
00682,3251,0.998602
00683,54,1.0
00683,3265,1.0
00685,54,1.0
00685,3238,0.11311
00685,3252,0.009645
00685,3268,0.877245
00687,54,1.0
00687,3253,1.0
00688,54,1.0
00688,3208,1.0
00690,54,1.0
00690,3204,1.0
00692,54,1.0
00692,3274,0.99853
00692,3275,0.00147
00693,54,1.0
00693,3248,0.002655
00693,3274,0.013804
00693,3275,0.983541
00694,54,1.0
00694,3275,1.0
00698,54,1.0
00698,3232,0.02177
00698,3279,0.97823
00703,54,1.0
00703,3205,0.931729
00703,3222,0.03556
00703,3224,0.032711
00704,54,1.0
00704,3231,0.023236
00704,3264,0.976764
00705,54,1.0
00705,3206,0.971847
00705,3223,0.028153
00707,54,1.0
00707,3250,1.0
00714,54,1.0
00714,3209,1.0
00715,54,1.0
00715,3240,0.006238
00715,3259,0.993762
00716,54,1.0
00716,3259,1.0
00717,54,1.0
00717,3259,1.0
00718,54,1.0
00718,3220,0.001188
00718,3254,0.998812
00719,54,1.0
00719,3224,0.004854
00719,3225,0.022153
00719,3255,0.969346
00719,3270,0.003648
00720,54,1.0
00720,3223,0.007007
00720,3256,0.992993
00723,54,1.0
00723,3209,0.00011
00723,3250,0.004543
00723,3257,0.995346
00725,54,1.0
00725,3205,0.01888
00725,3214,0.866389
00725,3233,0.044364
00725,3266,0.022474
00725,3267,0.027018
00725,3272,0.020875
00727,54,1.0
00727,3214,1.0
00728,54,1.0
00728,3259,1.0
00729,54,1.0
00729,3216,0.914246
00729,3246,0.085754
00730,54,1.0
00730,3259,1.0
00731,54,1.0
00731,3202,0.029127
00731,3259,0.970873
00735,54,1.0
00735,3220,0.951439
00735,3254,0.048561
00736,54,1.0
00736,3219,0.92441
00736,3222,0.07559
00738,54,1.0
00738,3220,0.002224
00738,3228,0.997776
00739,54,1.0
00739,3222,1.0
00740,54,1.0
00740,3228,1.0
00741,54,1.0
00741,3237,1.0
00745,54,1.0
00745,3216,0.00199
00745,3262,0.99801
00751,54,1.0
00751,3219,0.001331
00751,3264,0.998669
00754,54,1.0
00754,3267,1.0
00757,54,1.0
00757,3269,1.0
00765,54,1.0
00765,3276,1.0
00766,54,1.0
00766,3240,0.000723
00766,3256,0.065099
