county_geoid,is_metro
08119,True
08121,False
08123,True
08125,False
09001,True
09003,True
09005,False
09007,True
09009,True
09011,True
09013,True
09015,True
10001,True
10003,True
10005,True
11001,True
12001,True
12003,True
12005,True
12007,False
12009,True
12011,True
12013,False
12015,True
12017,True
12019,True
12021,True
12023,False
12027,False
12029,False
12031,True
12033,True
12035,True
12037,False
12039,True
12041,True
12043,False
12045,False
12047,False
12049,False
12051,False
12053,True
12055,True
12057,True
12059,False
12061,True
12063,False
12065,True
12067,False
12069,True
12071,True
12073,True
12075,True
12077,False
12079,False
12081,True
12083,True
12085,True
12086,True
12087,False
12089,True
12091,True
12093,False
12095,True
12097,True
12099,True
12101,True
12103,True
12105,True
12107,False
12109,True
12111,True
12113,True
12115,True
12117,True
12119,True
12121,False
12123,False
12125,False
12127,True
12129,True
12131,True
12133,False
13001,False
13003,False
13005,False
13007,False
13009,False
13011,False
13013,True
13015,True
13017,False
13019,False
13021,True
13023,False
13025,True
13027,True
13029,True
13031,False
13033,True
13035,True
13037,False
13039,False
13043,False
13045,True
13047,True
13049,False
13051,True
13053,True
13055,False
13057,True
13059,True
13061,False
13063,True
13065,False
13067,True
13069,False
13071,False
13073,True
13075,False
13077,True
13079,True
13081,False
13083,True
13085,True
13087,False
13089,True
13091,False
13093,False
13095,True
13097,True
13099,False
13101,True
13103,True
13105,False
13107,False
13109,False
13111,False
13113,True
13115,True
13117,True
13119,False
13121,True
13123,False
13125,False
13127,True
13129,False
13131,False
13133,False
13135,True
13137,False
13139,True
13141,False
13143,True
13145,True
13147,False
13149,True
13151,True
13153,True
13155,False
13157,False
13159,True
13161,False
13163,False
13165,False
13167,False
13169,True
13171,True
13173,True
13175,False
13177,True
13179,True
13181,True
13183,True
13185,True
13187,False
13189,True
13191,True
13193,False
13195,True
13197,True
13199,True
13201,False
13205,False
13207,True
13209,False
13211,True
13213,True
13215,True
13217,True
13219,True
13221,True
13223,True
13225,True
13227,True
13229,False
13231,True
13233,False
13235,False
13237,False
13239,False
13241,False
13243,False
13245,True
13247,True
13249,False
13251,False
13253,False
13255,True
13257,False
13259,True
13261,False
13263,True
13265,False
13267,False
13269,False
13271,False
13273,True
13275,False
13277,False
13279,False
13281,False
13283,False
13285,False
13287,False
13289,True
13291,False
13293,False
13295,True
13297,True
13299,False
13301,False
13303,False
13305,False
13307,False
13309,False
13311,False
13313,True
13315,False
13317,False
13319,False
13321,True
15001,False
15003,True
15005,False
15007,False
15009,True
16001,True
16003,False
16005,True
16007,False
16009,False
16011,False
16013,False
16015,True
16017,False
16019,True
16021,False
16023,True
16025,False
16027,True
16029,False
16031,False
16033,False
16035,False
16037,False
16039,False
16041,True
16043,False
16045,True
16047,False
